country;age;gender;Q1;sad;helpless;anxious;afraid;optimistic;angry;guilty;ashamed;hurt;depressed;despair;grief;powerless;indifferent;Q3;Q6;Doing enough to avoid a climate catastrophe;abandoned;hopeful;protected
France;22;man;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;no;no;no;not at all;yes;very;not at all;prefer not to say
Philippines;25;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;moderately;no;moderately;moderately;moderately
Philippines;24;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;not at all;no;moderately;not at all;moderately
Australia;20;woman;a little;no;yes;no;no;no;no;yes;no;no;no;no;no;no;no;no;a little;no;not at all;not at all;not at all
India;18;woman;extremely;no;no;no;yes;yes;no;no;yes;no;yes;no;no;no;yes;yes;a little;no;very;extremely;extremely
India;24;man;very;yes;yes;yes;yes;no;no;yes;no;no;no;no;yes;yes;no;yes;not at all;yes;extremely;a little;not at all
Australia;22;woman;not worried;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;prefer not to say;very;yes;extremely;very;very
Philippines;25;man;extremely;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;no;yes;moderately;no;a little;moderately;a little
Philippines;18;man;moderately;yes;yes;no;yes;no;no;yes;no;yes;no;no;yes;no;yes;yes;very;yes;not at all;a little;not at all
Philippines;18;woman;very;yes;yes;yes;yes;no;yes;yes;yes;yes;no;yes;no;no;yes;yes;a little;no;a little;very;moderately
Philippines;21;woman;moderately;yes;no;yes;yes;yes;no;no;no;yes;no;no;no;no;no;yes;moderately;no;a little;moderately;moderately
Finland;21;man;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;completely reassured;yes;extremely;extremely;extremely
India;25;woman;moderately;yes;yes;yes;no;no;no;yes;yes;yes;yes;yes;no;yes;no;yes;moderately;yes;moderately;very;not at all
Philippines;23;man;extremely;yes;yes;yes;yes;yes;yes;yes;no;yes;no;yes;no;yes;yes;yes;moderately;no;moderately;moderately;very
India;21;woman;extremely;no;no;yes;yes;no;no;yes;yes;no;no;yes;no;yes;no;no;not at all;yes;moderately;moderately;not at all
Australia;19;woman;moderately;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;no;yes;no;no;not at all;yes;prefer not to say;not at all;very
Philippines;18;man;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;no;yes;yes;yes;moderately;no;moderately;a little;moderately
Australia;24;woman;a little;no;no;no;no;yes;no;no;yes;no;no;no;no;no;prefer not to say;no;moderately;prefer not to say;not at all;moderately;not at all
Philippines;22;man;very;yes;no;no;yes;no;yes;yes;yes;no;no;no;no;no;no;no;a little;yes;not at all;very;not at all
India;19;woman;extremely;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;no;no;yes;moderately;yes;extremely;not at all;a little
Australia;22;woman;moderately;no;yes;yes;yes;no;no;no;no;no;no;no;no;yes;no;no;not at all;yes;a little;moderately;moderately
India;21;man;extremely;yes;no;yes;yes;no;yes;yes;yes;no;yes;prefer not to say;yes;no;yes;yes;not at all;prefer not to say;moderately;not at all;moderately
Australia;21;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;not at all;yes;very;not at all;very
India;25;man;moderately;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;moderately;no;moderately;moderately;moderately
Philippines;21;man;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;not at all;no;a little;very;moderately
Australia;18;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;no;not at all;yes;very;a little;a little
Australia;19;woman;moderately;yes;no;yes;no;yes;yes;yes;yes;no;no;yes;yes;no;yes;yes;moderately;yes;moderately;moderately;moderately
Australia;24;woman;very;yes;yes;yes;yes;no;yes;no;no;yes;no;yes;no;yes;no;no;not at all;yes;moderately;a little;a little
Australia;21;woman;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;moderately;yes;extremely;moderately;extremely
Australia;18;woman;a little;no;yes;no;no;no;no;yes;yes;yes;no;no;no;no;no;yes;prefer not to say;yes;moderately;very;moderately
Philippines;18;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;no;yes;yes;yes;no;yes;not at all;yes;extremely;moderately;extremely
Australia;24;woman;a little;yes;yes;yes;yes;no;yes;no;yes;no;no;no;no;yes;yes;no;moderately;yes;a little;a little;a little
Australia;21;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;no;yes;yes;yes;no;no;a little;yes;moderately;not at all;a little
Australia;24;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;no;no;no;no;no;a little;yes;not at all;a little;not at all
Australia;20;woman;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;moderately;yes;a little;a little;moderately
Portugal;25;man;very;yes;no;yes;yes;no;yes;yes;yes;yes;yes;no;no;no;no;yes;a little;no;not at all;moderately;a little
Australia;21;man;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;moderately;yes;extremely;not at all;very
France;21;man;not worried;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;not at all;yes;moderately;not at all;very
United Kingdom;25;man;very;no;yes;yes;no;yes;yes;yes;no;yes;no;no;no;no;yes;yes;a little;yes;moderately;very;moderately
Australia;20;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;prefer not to say;no;moderately;prefer not to say;moderately;moderately;moderately
Philippines;25;man;moderately;no;yes;yes;yes;no;no;no;no;no;no;no;no;yes;yes;yes;very;no;moderately;extremely;moderately
Australia;17;woman;not worried;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;not at all;no;not at all;not at all;not at all
Australia;21;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;not at all;yes;very;not at all;not at all
Brazil;22;woman;very;yes;yes;yes;yes;no;yes;yes;yes;no;yes;yes;yes;yes;no;yes;not at all;yes;extremely;not at all;very
Finland;22;man;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;a little;no;a little;a little;extremely
India;20;man;moderately;no;no;no;no;no;yes;no;no;yes;yes;no;no;no;no;yes;prefer not to say;no;not at all;moderately;moderately
Portugal;25;woman;extremely;yes;yes;yes;no;no;yes;no;yes;yes;yes;no;no;yes;no;no;not at all;yes;a little;very;moderately
India;17;woman;very;no;yes;no;yes;yes;no;no;yes;no;no;yes;yes;yes;yes;yes;completely reassured;no;not at all;very;extremely
Australia;20;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;not at all;yes;very;a little;extremely
Australia;18;woman;very;yes;yes;no;yes;no;no;no;yes;no;no;no;no;yes;no;no;moderately;yes;prefer not to say;prefer not to say;a little
Finland;21;man;moderately;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;completely reassured;yes;a little;a little;a little
Australia;21;woman;moderately;no;no;no;no;yes;yes;no;no;yes;no;yes;yes;yes;no;yes;moderately;yes;a little;moderately;a little
India;19;woman;extremely;yes;yes;yes;yes;yes;yes;no;yes;yes;no;yes;yes;yes;no;no;a little;yes;very;a little;very
Philippines;25;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;very;no;not at all;extremely;not at all
Australia;25;woman;extremely;yes;yes;yes;yes;yes;no;yes;no;yes;yes;yes;yes;yes;no;yes;moderately;yes;a little;moderately;extremely
Portugal;21;woman;extremely;yes;prefer not to say;yes;yes;no;yes;prefer not to say;prefer not to say;yes;no;prefer not to say;yes;yes;no;yes;moderately;prefer not to say;moderately;moderately;moderately
Finland;22;woman;very;yes;yes;yes;yes;no;yes;yes;yes;no;no;yes;yes;yes;no;no;not at all;yes;moderately;very;a little
Finland;19;man;very;no;yes;no;yes;no;prefer not to say;yes;no;prefer not to say;prefer not to say;yes;yes;yes;no;yes;very;no;extremely;moderately;moderately
India;18;man;extremely;no;no;yes;yes;yes;yes;no;no;yes;no;yes;yes;yes;no;yes;a little;yes;moderately;a little;a little
Finland;20;man;extremely;no;yes;yes;no;yes;yes;no;yes;yes;yes;no;yes;yes;no;yes;completely reassured;yes;very;not at all;moderately
Finland;25;man;not worried;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;not at all;yes;not at all;not at all;not at all
Finland;24;man;moderately;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;moderately;no;not at all;moderately;not at all
Finland;20;man;very;yes;yes;no;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;no;yes;very;no;very;moderately;a little
Finland;17;man;moderately;no;yes;no;no;no;no;yes;no;no;no;no;no;no;no;no;moderately;no;not at all;not at all;moderately
Finland;25;woman;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;a little;yes;a little;a little;moderately
Finland;20;woman;very;no;no;yes;yes;no;no;no;yes;no;no;yes;no;yes;yes;no;moderately;no;moderately;a little;moderately
Finland;21;woman;a little;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;moderately;prefer not to say;prefer not to say;not at all;prefer not to say
India;25;man;moderately;yes;no;yes;yes;no;yes;yes;no;no;no;no;yes;yes;no;yes;not at all;yes;very;moderately;moderately
Australia;21;woman;prefer not to say;no;yes;yes;yes;no;yes;yes;yes;yes;yes;prefer not to say;yes;yes;prefer not to say;yes;moderately;prefer not to say;not at all;moderately;very
Finland;22;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;not at all;yes;moderately;not at all;very
India;25;woman;extremely;yes;no;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;moderately;yes;very;moderately;very
Finland;18;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;not at all;yes;a little;a little;very
Finland;25;man;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;not at all;yes;extremely;not at all;extremely
Nigeria;23;man;very;no;no;yes;yes;yes;no;yes;no;yes;yes;yes;no;no;yes;yes;very;yes;a little;moderately;very
United Kingdom;25;woman;a little;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;not at all;yes;a little;not at all;extremely
Finland;19;woman;extremely;yes;yes;yes;yes;no;yes;no;yes;yes;yes;yes;yes;yes;no;yes;a little;yes;very;a little;extremely
Nigeria;18;man;a little;no;no;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;moderately;no;a little;a little;a little
Finland;24;woman;moderately;yes;yes;yes;yes;no;yes;yes;no;no;no;yes;yes;yes;no;no;moderately;no;not at all;very;not at all
India;21;man;extremely;yes;yes;no;yes;no;yes;yes;no;no;yes;no;yes;yes;no;yes;very;yes;moderately;moderately;very
Finland;23;man;a little;no;no;no;no;no;no;yes;no;no;no;no;no;no;yes;no;moderately;no;not at all;not at all;not at all
India;21;woman;very;yes;yes;yes;yes;no;yes;yes;yes;no;yes;yes;yes;yes;no;no;not at all;yes;very;not at all;very
Finland;25;woman;very;yes;yes;yes;yes;no;yes;yes;no;no;no;yes;yes;yes;no;no;a little;no;a little;not at all;a little
Australia;20;woman;a little;no;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;a little;no;not at all;very;not at all
Finland;25;woman;extremely;yes;yes;yes;yes;yes;yes;yes;no;no;yes;no;yes;yes;yes;yes;completely reassured;yes;extremely;extremely;not at all
India;23;woman;very;no;yes;yes;no;yes;yes;no;no;no;yes;no;no;no;no;yes;moderately;no;a little;extremely;very
Finland;18;man;not worried;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;a little;yes;not at all;very;not at all
Finland;16;man;moderately;yes;yes;no;no;no;yes;no;no;no;no;no;no;yes;no;no;not at all;yes;not at all;a little;moderately
Philippines;25;woman;very;yes;no;yes;yes;no;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;moderately;no;a little;very;moderately
Philippines;22;man;extremely;yes;no;yes;yes;yes;no;yes;no;yes;no;no;no;no;yes;no;not at all;no;a little;very;moderately
Finland;22;woman;very;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;a little;no;a little;a little;very
Nigeria;23;man;moderately;yes;yes;yes;no;yes;yes;no;yes;yes;yes;no;yes;no;yes;yes;moderately;yes;moderately;moderately;moderately
India;20;woman;very;yes;no;no;yes;yes;yes;yes;no;yes;no;yes;yes;no;no;yes;not at all;yes;extremely;a little;not at all
Australia;18;woman;very;yes;yes;yes;yes;no;yes;no;no;no;no;no;no;yes;no;no;a little;yes;a little;not at all;a little
United Kingdom;25;woman;moderately;yes;no;no;no;no;no;no;no;yes;no;no;yes;no;no;no;a little;yes;not at all;a little;not at all
India;18;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;no;yes;yes;yes;yes;no;yes;moderately;no;very;a little;moderately
Finland;21;woman;extremely;no;no;no;yes;no;yes;no;yes;no;yes;yes;yes;yes;no;yes;not at all;no;moderately;very;moderately
Australia;18;woman;very;yes;yes;yes;yes;no;yes;yes;yes;yes;no;yes;yes;yes;no;no;moderately;yes;moderately;moderately;moderately
Finland;22;woman;moderately;no;yes;no;no;no;yes;no;no;no;no;no;no;yes;no;no;not at all;yes;a little;moderately;very
France;20;woman;very;no;yes;no;yes;no;yes;yes;yes;no;no;prefer not to say;no;yes;no;no;a little;yes;very;a little;moderately
United Kingdom;17;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;no;no;no;no;no;not at all;yes;extremely;not at all;extremely
United Kingdom;20;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;not at all;yes;extremely;not at all;extremely
India;22;woman;extremely;yes;yes;yes;yes;yes;yes;no;yes;yes;no;no;yes;yes;yes;yes;very;yes;moderately;moderately;moderately
United Kingdom;20;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;not at all;yes;very;not at all;moderately
India;22;woman;very;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;no;a little;no;not at all;not at all;a little
India;25;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;no;yes;very;no;very;extremely;extremely
Philippines;25;man;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;no;not at all;yes;very;moderately;very
India;23;man;a little;yes;yes;yes;yes;yes;no;no;no;no;no;yes;no;yes;yes;yes;a little;yes;not at all;very;moderately
Philippines;21;woman;very;yes;no;yes;yes;yes;no;no;no;yes;no;yes;yes;no;yes;yes;completely reassured;yes;moderately;very;very
Portugal;19;man;extremely;yes;yes;yes;no;yes;yes;yes;no;yes;yes;no;no;yes;no;no;not at all;yes;moderately;moderately;extremely
Finland;16;woman;very;no;yes;yes;yes;prefer not to say;yes;yes;no;no;no;yes;yes;yes;no;yes;moderately;no;a little;moderately;a little
Finland;25;man;a little;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;moderately;no;moderately;very;very
Australia;18;man;extremely;yes;no;yes;yes;no;yes;no;no;no;no;no;no;yes;no;no;moderately;yes;not at all;not at all;extremely
Finland;22;woman;moderately;yes;yes;yes;yes;no;no;yes;no;no;no;yes;yes;yes;no;no;not at all;yes;very;a little;moderately
Australia;20;woman;extremely;yes;yes;yes;yes;yes;yes;no;no;yes;yes;yes;yes;yes;no;yes;not at all;yes;moderately;moderately;very
France;23;woman;very;yes;prefer not to say;yes;yes;no;yes;yes;prefer not to say;no;no;yes;no;yes;no;no;a little;prefer not to say;prefer not to say;prefer not to say;prefer not to say
Philippines;18;man;extremely;yes;no;yes;yes;no;yes;yes;yes;no;yes;no;yes;yes;no;yes;completely reassured;yes;not at all;extremely;not at all
Finland;16;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;moderately;no;moderately;moderately;very
India;20;man;very;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;prefer not to say;yes;yes;yes;very;yes;very;very;very
Philippines;23;man;extremely;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;no;yes;yes;yes;yes;moderately;yes;a little;very;moderately
Philippines;22;man;very;yes;yes;yes;yes;yes;no;yes;yes;yes;no;yes;yes;yes;no;no;a little;no;moderately;a little;very
India;21;man;moderately;no;no;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;no;yes;moderately;no;very;a little;extremely
Philippines;20;woman;extremely;yes;no;no;yes;prefer not to say;no;yes;no;no;no;no;no;yes;no;yes;a little;yes;moderately;moderately;a little
Australia;25;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;not at all;yes;extremely;not at all;extremely
India;25;woman;extremely;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;very;no;very;a little;very
India;20;woman;very;yes;yes;yes;yes;no;no;no;no;yes;yes;no;yes;prefer not to say;no;yes;a little;yes;moderately;a little;a little
Finland;17;woman;moderately;no;yes;yes;yes;no;yes;no;no;no;yes;yes;yes;no;no;yes;moderately;yes;moderately;very;very
India;23;man;not worried;yes;no;no;no;no;no;no;no;no;no;no;yes;no;yes;no;a little;no;a little;a little;moderately
Finland;23;woman;very;no;yes;yes;yes;no;no;no;no;no;yes;no;yes;no;no;no;a little;yes;a little;a little;very
Portugal;23;woman;extremely;yes;no;yes;yes;no;yes;yes;no;yes;no;yes;no;yes;no;no;not at all;no;moderately;not at all;not at all
Australia;21;man;very;yes;no;yes;yes;no;yes;no;yes;yes;yes;no;yes;no;no;no;a little;yes;moderately;not at all;a little
Australia;17;woman;extremely;prefer not to say;no;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;yes;prefer not to say;prefer not to say;yes;prefer not to say;prefer not to say;yes;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say
Australia;19;man;moderately;no;yes;yes;no;no;no;no;no;no;no;no;no;yes;no;no;a little;yes;a little;not at all;moderately
Philippines;23;man;very;yes;no;yes;no;yes;yes;no;yes;yes;no;no;no;no;prefer not to say;no;very;yes;not at all;very;a little
India;21;woman;very;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;no;no;no;not at all;yes;very;a little;very
Portugal;21;man;a little;yes;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;not at all;yes;not at all;not at all;prefer not to say
France;19;man;very;yes;yes;yes;yes;yes;no;yes;no;yes;yes;no;no;yes;no;no;moderately;yes;moderately;moderately;moderately
Philippines;22;woman;extremely;no;no;yes;yes;no;no;no;no;yes;yes;yes;yes;no;yes;yes;not at all;no;extremely;not at all;extremely
France;18;man;very;yes;yes;yes;yes;no;yes;no;no;yes;no;yes;yes;yes;no;no;not at all;no;moderately;a little;moderately
India;21;woman;extremely;no;yes;yes;no;yes;yes;no;no;no;yes;yes;no;no;yes;yes;very;no;moderately;very;a little
Finland;16;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;no;not at all;yes;a little;not at all;a little
France;20;man;very;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;not at all;no;not at all;not at all;not at all
India;21;woman;extremely;yes;no;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;not at all;yes;extremely;not at all;moderately
Philippines;25;woman;extremely;yes;no;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;moderately;yes;very;very;moderately
United Kingdom;22;woman;very;yes;yes;no;no;no;no;yes;no;yes;no;no;yes;no;no;no;moderately;prefer not to say;not at all;not at all;not at all
Finland;19;man;very;yes;yes;yes;yes;yes;yes;no;yes;no;yes;yes;yes;no;yes;yes;very;yes;very;very;very
France;21;woman;very;yes;no;yes;yes;yes;no;yes;yes;no;yes;no;yes;no;no;yes;a little;yes;a little;moderately;a little
Portugal;18;man;extremely;yes;yes;yes;yes;no;yes;yes;no;no;yes;yes;no;yes;no;no;a little;prefer not to say;moderately;moderately;very
India;19;man;a little;yes;yes;yes;no;no;yes;no;no;no;no;no;yes;yes;no;yes;a little;yes;not at all;a little;moderately
Finland;21;woman;very;no;yes;yes;yes;yes;yes;no;no;no;no;yes;yes;yes;no;no;not at all;no;a little;a little;a little
Finland;21;man;extremely;yes;no;no;yes;no;yes;yes;no;yes;yes;no;no;yes;yes;yes;completely reassured;yes;extremely;very;extremely
India;20;woman;extremely;yes;no;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;no;prefer not to say;yes;a little;yes;moderately;a little;moderately
India;22;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;not at all;yes;very;a little;very
Nigeria;24;woman;moderately;yes;yes;no;no;yes;no;no;no;no;no;no;no;no;yes;yes;prefer not to say;prefer not to say;a little;a little;moderately
United Kingdom;18;man;a little;no;no;no;yes;no;no;no;no;no;no;no;no;yes;yes;prefer not to say;not at all;no;not at all;not at all;not at all
Philippines;25;man;extremely;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;a little;yes;moderately;a little;moderately
Finland;16;woman;very;yes;yes;yes;yes;prefer not to say;yes;yes;no;prefer not to say;no;yes;yes;prefer not to say;no;no;prefer not to say;prefer not to say;prefer not to say;prefer not to say;prefer not to say
Nigeria;23;woman;very;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no;yes;moderately;no;moderately;a little;moderately
France;24;woman;very;yes;yes;no;yes;no;yes;yes;yes;no;no;no;yes;yes;no;no;moderately;prefer not to say;a little;not at all;prefer not to say
Brazil;20;man;extremely;yes;no;yes;yes;no;yes;yes;yes;yes;no;yes;no;yes;no;yes;a little;no;moderately;moderately;a little
Finland;22;woman;very;yes;yes;yes;yes;no;yes;yes;no;no;no;yes;yes;no;no;no;a little;yes;not at all;a little;a little
Australia;23;woman;extremely;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;not at all;yes;extremely;not at all;extremely
Australia;21;man;moderately;yes;yes;no;yes;no;no;no;no;no;no;yes;no;yes;no;no;moderately;yes;moderately;moderately;moderately
United Kingdom;21;woman;prefer not to say;no;yes;no;no;yes;no;yes;no;no;no;no;no;no;no;no;completely reassured;no;moderately;moderately;a little
Finland;25;woman;extremely;yes;yes;yes;yes;no;yes;yes;yes;no;yes;yes;yes;yes;no;yes;a little;yes;very;not at all;very
Finland;17;woman;very;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;no;a little;yes;moderately;moderately;very
